Record Date,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount
1/31/23,(On-Budget),3.88957E+11,1.57201E+12,1.45089E+12
1/31/23,(Off-Budget),97115182130,3.61027E+11,3.25041E+11
1/31/23,Surplus (+) or Deficit (-),-38783771839,-4.60194E+11,-2.58995E+11
1/31/23,(On-Budget),-49927589709,-4.61744E+11,-2.68102E+11
1/31/23,(Off-Budget),11143817870,1550617335,9107599486
12/31/22,Budget Receipts,null,null,null
12/31/22,Individual Income Taxes,2.15539E+11,5.04589E+11,5.35398E+11
12/31/22,Corporation Income Taxes,87817882996,1.05391E+11,98670719263
12/31/22,Social Insurance and Retirement Receipts:,null,null,null
12/31/22,Employment and General Retirement (Off-Budget),96807203955,2.54318E+11,2.34476E+11
12/31/22,Employment and General Retirement (On-Budget),34877828535,92897223607,83574397065
12/31/22,Unemployment Insurance,529695490.7,7277518158,15538713942
12/31/22,Other Retirement,534218469.3,1606036945,1618721818
12/31/22,Excise Taxes,7105776372,20961105713,20515060690
12/31/22,Estate and Gift Taxes,1610693781,7034603109,6615054872
12/31/22,Customs Duties,6552387162,21887109241,23772865557
12/31/22,Miscellaneous Receipts,3568179587,9592231940,31678654457
12/31/22,Total Receipts,4.54942E+11,1.02555E+12,1.05186E+12
12/31/22,(On-Budget),3.58135E+11,7.71235E+11,8.17382E+11
12/31/22,(Off-Budget),96807203955,2.54318E+11,2.34476E+11
12/31/22,Budget Outlays,null,null,null
12/31/22,Legislative Branch,432152937.2,1610759425,1482546796
12/31/22,Judicial Branch,731801661.7,2091532371,2199355504
12/31/22,Department of Agriculture,21300405356,73133809033,74454669581
12/31/22,Department of Commerce,1034325927,3007361485,3755064713
12/31/22,Department of Defense--Military Programs,72836148958,2.04339E+11,1.97226E+11
12/31/22,Department of Education,17883807683,55248393909,39159373167
12/31/22,Department of Energy,2983382447,5634525587,8593890271
12/31/22,Department of Health and Human Services,1.36306E+11,3.67728E+11,3.89573E+11
12/31/22,Department of Homeland Security,8392392308,23317487172,21368237717
12/31/22,Department of Housing and Urban Development,5353799849,14917104531,12725124822
12/31/22,Department of the Interior,1155717433,3660593384,3824884065
12/31/22,Department of Justice,3137233196,10449009717,9313393364
12/31/22,Department of Labor,5800800305,8405326086,13280492609
12/31/22,Department of State,4010286832,8929585903,8306314270
12/31/22,Department of Transportation,8995109925,26961632782,25099991552
12/31/22,Department of the Treasury:,null,null,null
12/31/22,Interest on Treasury Debt Securities (Gross),1.07412E+11,2.10005E+11,1.52937E+11
12/31/22,Other,24661488147,58271286145,95581865702
12/31/22,Department of Veterans Affairs,34926948026,68840949040,72786700359
12/31/22,Corps of Engineers,1071777588,2685859725,2375658519
12/31/22,Other Defense Civil Programs,11316863732,16765582092,21153807211
12/31/22,Environmental Protection Agency,849000269.3,2325061157,2534957126
12/31/22,Executive Office of the President,40143362.69,119587288.9,114355973.3
12/31/22,General Services Administration,64070582.5,-91155398.42,15301518.4
12/31/22,International Assistance Programs,282711547,9580302403,4349038168
12/31/22,National Aeronautics and Space Administration,3008119690,6832351415,6328579974
12/31/22,National Science Foundation,625182479.6,1969263759,1854330621
12/31/22,Office of Personnel Management,9535897274,29748665399,27732714568
12/31/22,Small Business Administration,107227909.9,554090779.3,10835734630
12/31/22,Social Security Administration,1.14088E+11,3.27789E+11,3.06748E+11
12/31/22,Independent Agencies,1535889084,10445178162,9223640360
12/31/22,Undistributed Offsetting Receipts:,null,null,null
12/31/22,Interest,-51421812220,-61529371133,-49329588120
12/31/22,Other,-8514053813,-46784019624,-46051637703
12/31/22,Total Outlays,5.39943E+11,1.44696E+12,1.42955E+12
12/31/22,(On-Budget),4.67639E+11,1.18305E+12,1.19181E+12
12/31/22,(Off-Budget),72303945884,2.63911E+11,2.37746E+11
12/31/22,Surplus (+) or Deficit (-),-85000736578,-4.2141E+11,-3.77694E+11
12/31/22,(On-Budget),-1.09504E+11,-4.11817E+11,-3.74424E+11
12/31/22,(Off-Budget),24503258071,-9593200534,-3269863780
11/30/22,Budget Receipts,null,null,null
11/30/22,Individual Income Taxes,1.13701E+11,2.8905E+11,2.82094E+11
11/30/22,Corporation Income Taxes,2942855080,17572812199,15385487316
11/30/22,Social Insurance and Retirement Receipts:,null,null,null
11/30/22,Employment and General Retirement (Off-Budget),81638000000,1.57511E+11,1.48347E+11
11/30/22,Employment and General Retirement (On-Budget),30156964291,58019395072,52803833518
11/30/22,Unemployment Insurance,3006815367,6747822667,13987403378
11/30/22,Other Retirement,528669881.3,1071818475,1133967642
11/30/22,Excise Taxes,8043174548,13855329341,13360350604
11/30/22,Estate and Gift Taxes,2618243065,5423909328,4261738645
11/30/22,Customs Duties,7171471870,15334722079,15586258131
11/30/22,Miscellaneous Receipts,2303830107,6024052352,18175007144
11/30/22,Total Receipts,2.52111E+11,5.70611E+11,5.65135E+11
11/30/22,(On-Budget),1.70473E+11,4.131E+11,4.16788E+11
11/30/22,(Off-Budget),81638000000,1.57511E+11,1.48347E+11
11/30/22,Budget Outlays,null,null,null
11/30/22,Legislative Branch,494610510,1178606488,1056002484
11/30/22,Judicial Branch,692652311.4,1359730709,1552742805
11/30/22,Department of Agriculture,25932806209,51833403677,49495887145
11/30/22,Department of Commerce,933907027.2,1973035558,2778496971
11/30/22,Department of Defense--Military Programs,58392653293,1.31503E+11,1.26299E+11
11/30/22,Department of Education,22394367674,37364586225,26211994198
11/30/22,Department of Energy,1704409865,2651143140,5684905393
11/30/22,Department of Health and Human Services,1.43932E+11,2.31423E+11,2.54706E+11
11/30/22,Department of Homeland Security,6648942410,14925094864,14418267595
11/30/22,Department of Housing and Urban Development,4661752653,9563304682,9074444790
11/30/22,Department of the Interior,1226091147,2504875951,2517449492
11/30/22,Department of Justice,3637478016,7311776522,6306402412
11/30/22,Department of Labor,4110255343,2604525781,7574127609
11/30/22,Department of State,2267834856,4919299071,6228809199
11/30/22,Department of Transportation,9215989707,17966522857,15919830096
11/30/22,Department of the Treasury:,null,null,null
11/30/22,Interest on Treasury Debt Securities (Gross),55018531839,1.02593E+11,54968461525
11/30/22,Other,13563698990,33609797998,65130860500
11/30/22,Department of Veterans Affairs,22506249265,33914001014,42140335448
11/30/22,Corps of Engineers,1109357374,1614082137,1460523909
11/30/22,Other Defense Civil Programs,5575747853,5448718359,11932254759
11/30/22,Environmental Protection Agency,706023428.1,1476060888,1544476562
11/30/22,Executive Office of the President,37408466.52,79443926.22,82788333.68
11/30/22,General Services Administration,128367953.9,-155225980.9,-119412264.9
11/30/22,International Assistance Programs,5708607320,9297590856,5265021307
11/30/22,National Aeronautics and Space Administration,2108890710,3824231726,4096940321
11/30/22,National Science Foundation,652992320.5,1344081279,1218431047
11/30/22,Office of Personnel Management,10110052819,20712768125,18491132205
11/30/22,Small Business Administration,157016897.4,446862869.4,7609346843
11/30/22,Social Security Administration,1.0908E+11,2.13701E+11,2.01487E+11
11/30/22,Independent Agencies,2631207059,8909289078,7619197192
11/30/22,Undistributed Offsetting Receipts:,null,null,null
11/30/22,Interest,-5971896046,-10107558913,5835726849
11/30/22,Other,-8722995940,-38769965811,-37062093877
11/30/22,Total Outlays,5.00646E+11,9.0702E+11,9.21526E+11
11/30/22,(On-Budget),3.99543E+11,7.15412E+11,7.44732E+11
11/30/22,(Off-Budget),1.01103E+11,1.91607E+11,1.76794E+11
11/30/22,Surplus (+) or Deficit (-),-2.48535E+11,-3.36409E+11,-3.5639E+11
11/30/22,(On-Budget),-2.2907E+11,-3.02313E+11,-3.27944E+11
11/30/22,(Off-Budget),-19464681290,-34096458605,-28446583635
10/31/22,Budget Receipts,null,null,null
10/31/22,Individual Income Taxes,1.75349E+11,1.75349E+11,1.43908E+11
10/31/22,Corporation Income Taxes,14629957119,14629957119,15706538517
10/31/22,Social Insurance and Retirement Receipts:,null,null,null
10/31/22,Employment and General Retirement (Off-Budget),75873000000,75873000000,71292000000
10/31/22,Employment and General Retirement (On-Budget),27862430781,27862430781,25296319582
10/31/22,Unemployment Insurance,3741007301,3741007301,2432581549
10/31/22,Other Retirement,543148594.1,543148594.1,570683155.3
10/31/22,Excise Taxes,5812154793,5812154793,5585521642
10/31/22,Estate and Gift Taxes,2805666262,2805666262,2458044484
10/31/22,Customs Duties,8163250209,8163250209,7770037974
10/31/22,Miscellaneous Receipts,3796550047,3796550047,8907745954
10/31/22,Total Receipts,3.18576E+11,3.18576E+11,2.83927E+11
10/31/22,(On-Budget),2.42703E+11,2.42703E+11,2.12635E+11
10/31/22,(Off-Budget),75873000000,75873000000,71292000000
10/31/22,Budget Outlays,null,null,null
10/31/22,Legislative Branch,683995977.7,683995977.7,508284779.5
10/31/22,Judicial Branch,667078398.1,667078398.1,814775523.5
10/31/22,Department of Agriculture,25900597468,25900597468,25866938822
10/31/22,Department of Commerce,1039128531,1039128531,800618339
10/31/22,Department of Defense--Military Programs,73110438882,73110438882,65482088673
10/31/22,Department of Education,14970218551,14970218551,14668594391
10/31/22,Department of Energy,946733275.4,946733275.4,3434227615
10/31/22,Department of Health and Human Services,87490408551,87490408551,1.20507E+11
10/31/22,Department of Homeland Security,8276152454,8276152454,6339151019
10/31/22,Department of Housing and Urban Development,4901552030,4901552030,4688683441
10/31/22,Department of the Interior,1278784804,1278784804,1275104942
10/31/22,Department of Justice,3674298506,3674298506,2760399579
10/31/22,Department of Labor,-1505729562,-1505729562,2093522345
10/31/22,Department of State,2651464215,2651464215,2184397721
10/31/22,Department of Transportation,8750533150,8750533150,7644382389
10/31/22,Department of the Treasury:,null,null,null
10/31/22,Interest on Treasury Debt Securities (Gross),47574370568,47574370568,18938963389
10/31/22,Other,20046099007,20046099007,34429888372
10/31/22,Department of Veterans Affairs,11407751749,11407751749,21932896890
10/31/22,Corps of Engineers,504724762.8,504724762.8,648983224.7
10/31/22,Other Defense Civil Programs,-127029493.8,-127029493.8,6895340560
10/31/22,Environmental Protection Agency,770037459.5,770037459.5,786099885.1
10/31/22,Executive Office of the President,42035459.7,42035459.7,47703309.98
10/31/22,General Services Administration,-283593934.9,-283593934.9,-66864460.28
10/31/22,International Assistance Programs,3588983536,3588983536,2087849895
10/31/22,National Aeronautics and Space Administration,1715341015,1715341015,1764639085
10/31/22,National Science Foundation,691088958.7,691088958.7,643821001.5
10/31/22,Office of Personnel Management,10602715306,10602715306,9364541629
10/31/22,Small Business Administration,289845971.9,289845971.9,2332761553
10/31/22,Social Security Administration,1.04621E+11,1.04621E+11,1.01055E+11
10/31/22,Independent Agencies,6278082019,6278082019,6338079620
10/31/22,Undistributed Offsetting Receipts:,null,null,null
10/31/22,Interest,-4135662867,-4135662867,9957863909
10/31/22,Other,-30046969871,-30046969871,-27243026774
10/31/22,Total Outlays,4.06374E+11,4.06374E+11,4.48983E+11
10/31/22,(On-Budget),3.15869E+11,3.15869E+11,3.65312E+11
10/31/22,(Off-Budget),90504777315,90504777315,83670799202
10/31/22,Surplus (+) or Deficit (-),-87797836311,-87797836311,-1.65055E+11
10/31/22,(On-Budget),-73166058996,-73166058996,-1.52677E+11
10/31/22,(Off-Budget),-14631777315,-14631777315,-12378799202
9/30/22,Budget Receipts,null,null,null
9/30/22,Individual Income Taxes,2.27726E+11,2.63215E+12,2.04438E+12
9/30/22,Corporation Income Taxes,1.05941E+11,4.24865E+11,3.71831E+11
9/30/22,Social Insurance and Retirement Receipts:,null,null,null
9/30/22,Employment and General Retirement (Off-Budget),93530642460,1.06597E+12,9.52322E+11
9/30/22,Employment and General Retirement (On-Budget),32327043390,3.4476E+11,2.99536E+11
9/30/22,Unemployment Insurance,399538040,66497452819,56601808949
9/30/22,Other Retirement,626447328.3,6294427996,5629367791
9/30/22,Excise Taxes,11678235221,87726258305,75271184579
9/30/22,Estate and Gift Taxes,3462429305,32550398045,27140075206
9/30/22,Customs Duties,8741053578,99907565997,79984829486
9/30/22,Miscellaneous Receipts,3290231544,1.35397E+11,1.33285E+11
9/30/22,Total Receipts,4.87723E+11,4.89612E+12,4.04598E+12
9/30/22,(On-Budget),3.94192E+11,3.83014E+12,3.09366E+12
9/30/22,(Off-Budget),93530642460,1.06597E+12,9.52322E+11
9/30/22,Budget Outlays,null,null,null
9/30/22,Legislative Branch,506722299.9,5751590216,5263132990
9/30/22,Judicial Branch,871335765.3,8719886389,8310486157
9/30/22,Department of Agriculture,15862284445,2.45216E+11,2.35193E+11
9/30/22,Department of Commerce,710373145,11733908928,13133928911
9/30/22,Department of Defense--Military Programs,77310173979,7.26571E+11,7.17585E+11
9/30/22,Department of Education,4.45657E+11,6.39368E+11,2.60452E+11
9/30/22,Department of Energy,1558443243,22439263245,33694416248
9/30/22,Department of Health and Human Services,1.7542E+11,1.6429E+12,1.46667E+12
9/30/22,Department of Homeland Security,7278958622,80864819048,91068864328
9/30/22,Department of Housing and Urban Development,2282932747,29307153031,35082390972
9/30/22,Department of the Interior,1501624175,13917336023,15787794449
9/30/22,Department of Justice,3500298669,39603322450,39261464024
9/30/22,Department of Labor,671831390.7,51737550718,4.04771E+11
9/30/22,Department of State,4205876971,33230702310,35814168474
9/30/22,Department of Transportation,11659152303,1.13729E+11,1.04936E+11
9/30/22,Department of the Treasury:,null,null,null
9/30/22,Interest on Treasury Debt Securities (Gross),39999275279,7.17611E+11,5.62388E+11
9/30/22,Other,-17081862534,4.44611E+11,1.07136E+12
9/30/22,Department of Veterans Affairs,35715430962,2.73867E+11,2.33781E+11
9/30/22,Corps of Engineers,475819587.7,8181448625,7935596750
9/30/22,Other Defense Civil Programs,11464414416,56869545213,58084581271
9/30/22,Environmental Protection Agency,948837939.9,9279122400,8308686437
9/30/22,Executive Office of the President,44576429.53,457779472.7,427352737.5
9/30/22,General Services Administration,-71237641.25,-1202157727,-1269471522
9/30/22,International Assistance Programs,3490543414,35813650950,20047274084
9/30/22,National Aeronautics and Space Administration,2266811108,23078751682,22248799228
9/30/22,National Science Foundation,835094721.4,8132801551,7376119998
9/30/22,Office of Personnel Management,8315321329,1.13072E+11,1.08552E+11
9/30/22,Small Business Administration,222372929.8,23199309564,3.22721E+11
9/30/22,Social Security Administration,1.13186E+11,1.28206E+12,1.19245E+12
9/30/22,Independent Agencies,2054934130,29829257499,13554396550
9/30/22,Allowances,null,null,null
9/30/22,Undistributed Offsetting Receipts:,null,null,null
9/30/22,Interest,-1238117397,-1.83967E+11,-1.49579E+11
9/30/22,Other,-32228610635,-2.34467E+11,-1.23861E+11
9/30/22,Total Outlays,9.17396E+11,6.27151E+12,6.82155E+12
9/30/22,(On-Budget),8.17392E+11,5.19035E+12,5.81771E+12
9/30/22,(Off-Budget),1.00004E+11,1.08116E+12,1.00385E+12
9/30/22,Surplus (+) or Deficit (-),-4.29673E+11,-1.37539E+12,-2.77557E+12
9/30/22,(On-Budget),-4.232E+11,-1.36021E+12,-2.72405E+12
9/30/22,(Off-Budget),-6473857064,-15182028326,-51525204582
8/31/22,Budget Receipts,null,null,null
8/31/22,Individual Income Taxes,1.40936E+11,2.40442E+12,1.82959E+12
8/31/22,Corporation Income Taxes,4635779226,3.18924E+11,2.85119E+11
8/31/22,Social Insurance and Retirement Receipts:,null,null,null
8/31/22,Employment and General Retirement (Off-Budget),86178000000,9.72444E+11,8.64936E+11
8/31/22,Employment and General Retirement (On-Budget),27334711224,3.12433E+11,2.69555E+11
8/31/22,Unemployment Insurance,8873463717,66097914779,50938884322
8/31/22,Other Retirement,486618597.4,5667980667,5176409167
8/31/22,Excise Taxes,8552123680,76048023084,64647568550
8/31/22,Estate and Gift Taxes,2426342484,29087968740,24707535722
8/31/22,Customs Duties,8455571829,91166512419,72127604776
8/31/22,Miscellaneous Receipts,15848134474,1.32163E+11,1.1966E+11
8/31/22,Total Receipts,3.03726E+11,4.40845E+12,3.58646E+12
8/31/22,(On-Budget),2.17548E+11,3.43601E+12,2.72152E+12
8/31/22,(Off-Budget),86178000000,9.72444E+11,8.64936E+11
8/31/22,Budget Outlays,null,null,null
8/31/22,Legislative Branch,479381232,5244867916,4799531041
8/31/22,Judicial Branch,732255187.2,7848550623,7620960822
8/31/22,Department of Agriculture,19577353162,2.29353E+11,2.16597E+11
8/31/22,Department of Commerce,933901414.9,11023535783,12393875959
8/31/22,Department of Defense--Military Programs,59329029738,6.49261E+11,6.53852E+11
8/31/22,Department of Education,33543838825,1.93711E+11,1.52071E+11
8/31/22,Department of Energy,376894687.1,20880820002,30383884968
8/31/22,Department of Health and Human Services,1.37354E+11,1.46748E+12,1.34013E+12
8/31/22,Department of Homeland Security,6825977469,73585860426,82419542901
8/31/22,Department of Housing and Urban Development,4712854181,27024220283,28588804736
8/31/22,Department of the Interior,1139486788,12415711848,13783627669
8/31/22,Department of Justice,3641908890,36103023781,35454923098
8/31/22,Department of Labor,4518397803,51065719327,3.89487E+11
8/31/22,Department of State,4556284990,29024825338,31833390117
8/31/22,Department of Transportation,12674992737,1.02126E+11,91762775748
8/31/22,Department of the Treasury:,null,null,null
8/31/22,Interest on Treasury Debt Securities (Gross),88132063086,6.77612E+11,5.24707E+11
8/31/22,Other,18028463072,4.61693E+11,1.08791E+12
8/31/22,Department of Veterans Affairs,22270485363,2.38152E+11,2.12582E+11
8/31/22,Corps of Engineers,931391980.7,7705629037,7554420957
8/31/22,Other Defense Civil Programs,1466415289,45405130797,53197606573
8/31/22,Environmental Protection Agency,788569478.4,8330284460,7540974424
8/31/22,Executive Office of the President,43684544.48,413203043.2,392750341.1
8/31/22,General Services Administration,-101651534,-1130920086,-1183277068
8/31/22,International Assistance Programs,5499935318,32323107536,17259148996
8/31/22,National Aeronautics and Space Administration,2220533492,20811940573,20449622139
8/31/22,National Science Foundation,982731488.6,7297706830,6590362355
8/31/22,Office of Personnel Management,9956882123,1.04757E+11,98871559520
8/31/22,Small Business Administration,386575749.6,22976936634,3.19954E+11
8/31/22,Social Security Administration,1.08551E+11,1.16887E+12,1.09277E+12
8/31/22,Independent Agencies,2550804081,27774323369,14039988613
8/31/22,Allowances,null,null,null
8/31/22,Undistributed Offsetting Receipts:,null,null,null
8/31/22,Interest,-19471219845,-1.82729E+11,-1.45383E+11
8/31/22,Other,-9310632827,-2.02238E+11,-1.11339E+11
8/31/22,Total Outlays,5.23323E+11,5.35417E+12,6.29709E+12
8/31/22,(On-Budget),4.22047E+11,4.37301E+12,5.3858E+12
8/31/22,(Off-Budget),1.01276E+11,9.81152E+11,9.11286E+11
8/31/22,Surplus (+) or Deficit (-),-2.19596E+11,-9.45715E+11,-2.71063E+12
8/31/22,(On-Budget),-2.04498E+11,-9.37007E+11,-2.66428E+12
8/31/22,(Off-Budget),-15097964532,-8708171262,-46350550805
7/31/22,Budget Receipts,null,null,null
7/31/22,Individual Income Taxes,1.28012E+11,2.26348E+12,1.70574E+12
7/31/22,Corporation Income Taxes,8235124088,3.14288E+11,2.82086E+11
7/31/22,Social Insurance and Retirement Receipts:,null,null,null
7/31/22,Employment and General Retirement (Off-Budget),80014000000,8.86266E+11,7.87789E+11
7/31/22,Employment and General Retirement (On-Budget),24780235111,2.85099E+11,2.46276E+11
7/31/22,Unemployment Insurance,3024722535,57224451061,44907719156
7/31/22,Other Retirement,487271017.4,5181362070,4722691381
7/31/22,Excise Taxes,6460870590,67495899404,57206294014
7/31/22,Estate and Gift Taxes,2630073763,26661626256,22979863779
7/31/22,Customs Duties,8530321539,82710940591,64857161660
7/31/22,Miscellaneous Receipts,7160840247,1.16315E+11,1.01511E+11
7/31/22,Total Receipts,2.69335E+11,4.10473E+12,3.31808E+12
7/31/22,(On-Budget),1.89321E+11,3.21846E+12,2.53029E+12
7/31/22,(Off-Budget),80014000000,8.86266E+11,7.87789E+11
7/31/22,Budget Outlays,null,null,null
7/31/22,Legislative Branch,485159724.7,4765486684,4408312897
7/31/22,Judicial Branch,747839352,7116295436,6958862126
7/31/22,Department of Agriculture,18727083193,2.09776E+11,1.96558E+11
7/31/22,Department of Commerce,829388482.3,10089634368,11583365567
7/31/22,Department of Defense--Military Programs,58851663800,5.89931E+11,6.04904E+11
7/31/22,Department of Education,9635263274,1.60167E+11,1.37289E+11
7/31/22,Department of Energy,602333856.2,20503925315,27537184246
7/31/22,Department of Health and Human Services,1.38651E+11,1.33012E+12,1.25283E+12
7/31/22,Department of Homeland Security,5368920227,66759882957,75697384068
7/31/22,Department of Housing and Urban Development,4658581216,22311366102,24760544302
7/31/22,Department of the Interior,1174887795,11276225060,12609030073
7/31/22,Department of Justice,3054818152,32461114891,32361108617
7/31/22,Department of Labor,2977531361,46547321524,3.58906E+11
7/31/22,Department of State,1930692358,24468540348,28519906134
7/31/22,Department of Transportation,8314779037,89450877182,82390728807
7/31/22,Department of the Treasury:,null,null,null
7/31/22,Interest on Treasury Debt Securities (Gross),68524604178,5.8948E+11,4.66988E+11
7/31/22,Other,20426823744,4.43665E+11,1.02203E+12
7/31/22,Department of Veterans Affairs,21235866252,2.15881E+11,2.0208E+11
7/31/22,Corps of Engineers,730005600.9,6774237056,6919845625
7/31/22,Other Defense Civil Programs,3867017050,43938715508,55396479944
7/31/22,Environmental Protection Agency,664325553.4,7541714981,6900992141
7/31/22,Executive Office of the President,35657613.11,369518498.7,356956452.7
7/31/22,General Services Administration,-342597434.6,-1029268552,-886832507.6
7/31/22,International Assistance Programs,3346249895,26823172217,16098926883
7/31/22,National Aeronautics and Space Administration,1759697259,18591407082,18319090021
7/31/22,National Science Foundation,833989955.7,6314975341,5753654923
7/31/22,Office of Personnel Management,9947512940,94799929110,89803939603
7/31/22,Small Business Administration,413723255.1,22590360885,3.37904E+11
7/31/22,Social Security Administration,1.08097E+11,1.06032E+12,9.97044E+11
7/31/22,Independent Agencies,4802842972,25223516735,11663713143
7/31/22,Allowances,null,null,null
7/31/22,Undistributed Offsetting Receipts:,null,null,null
7/31/22,Interest,-11759228713,-1.63258E+11,-1.33141E+11
7/31/22,Other,-8206351255,-1.92928E+11,-1.02467E+11
7/31/22,Total Outlays,4.80387E+11,4.83084E+12,5.85808E+12
7/31/22,(On-Budget),3.91028E+11,3.95097E+12,5.04024E+12
7/31/22,(Off-Budget),89358842611,8.79876E+11,8.17833E+11
7/31/22,Surplus (+) or Deficit (-),-2.11052E+11,-7.26119E+11,-2.54E+12
7/31/22,(On-Budget),-2.01707E+11,-7.32509E+11,-2.50996E+12
7/31/22,(Off-Budget),-9344842611,6389795823,-30044701992
6/30/22,Budget Receipts,null,null,null
6/30/22,Individual Income Taxes,2.00815E+11,2.13547E+12,1.59066E+12
6/30/22,Corporation Income Taxes,82555447609,3.06053E+11,2.65144E+11
6/30/22,Social Insurance and Retirement Receipts:,null,null,null
6/30/22,Employment and General Retirement (Off-Budget),1.06313E+11,8.06252E+11,7.12567E+11
6/30/22,Employment and General Retirement (On-Budget),38071460153,2.60318E+11,2.23668E+11
6/30/22,Unemployment Insurance,1616243457,54199728527,40209956298
6/30/22,Other Retirement,515057717.7,4694091052,4251189103
6/30/22,Excise Taxes,7650886441,61035028814,50384645123
6/30/22,Estate and Gift Taxes,2399050979,24031552493,21476825172
6/30/22,Customs Duties,8363581565,74180619051,57348302390
6/30/22,Miscellaneous Receipts,12461553060,1.09154E+11,90365140432
6/30/22,Total Receipts,4.60761E+11,3.83539E+12,3.05608E+12
6/30/22,(On-Budget),3.54448E+11,3.02914E+12,2.34351E+12
6/30/22,(Off-Budget),1.06313E+11,8.06252E+11,7.12567E+11
6/30/22,Budget Outlays,null,null,null
6/30/22,Legislative Branch,437882538.6,4280326959,3998391181
6/30/22,Judicial Branch,691860420,6368456084,6295617557
6/30/22,Department of Agriculture,23096860981,1.91049E+11,1.77897E+11
6/30/22,Department of Commerce,903007191.9,9260245885,10840996365
6/30/22,Department of Defense--Military Programs,60214458427,5.31079E+11,5.41534E+11
6/30/22,Department of Education,52748328091,1.50532E+11,1.25366E+11
6/30/22,Department of Energy,1172908073,19901591459,25307152341
6/30/22,Department of Health and Human Services,1.36716E+11,1.19147E+12,1.08547E+12
6/30/22,Department of Homeland Security,7059024329,61390962730,69830067456
6/30/22,Department of Housing and Urban Development,-18540161056,17652784887,32215659310
6/30/22,Department of the Interior,1824468824,10101337265,11484172333
6/30/22,Department of Justice,3323530652,29406296739,29193851456
6/30/22,Department of Labor,3415600773,43569790163,3.29307E+11
6/30/22,Department of State,2030897294,22537847990,23248812442
6/30/22,Department of Transportation,10428681872,81136098144,73702734276
6/30/22,Department of the Treasury:,null,null,null
